batch,volume
55,983.76
55,998.98
55,981.9
55,1002.63
55,1002.6
55,996.19
55,999.98
55,1003.42
55,1008.98
55,996.39
55,1016.56
55,988.11
55,1016.66
55,979.97
55,995.22
55,1013.69
55,1002.58
55,1007.02
55,1008.88
55,1007.22
55,986.18
55,990.07
55,998.31
55,1002.88
55,1002.97
55,998.12
55,996.32
55,1014.51
55,1002.19
55,1004.45
55,997.89
55,994.93
55,1004.0
55,1010.18
55,1012.11
55,1004.53
55,986.44
55,1007.95
55,984.29
55,988.4
55,993.57
55,991.97
55,1008.99
55,1004.45
55,1006.28
55,993.11
55,1001.5
55,1012.64
55,987.86
55,994.78
55,994.32
55,989.95
55,1001.97
55,1007.27
55,1002.76
55,1001.42
55,1015.53
55,992.72
55,999.13
55,1012.98
55,1006.79
55,984.19
55,1024.27
55,1009.89
55,1007.36
55,991.78
55,993.17
55,1012.39
55,1003.0
55,1000.59
55,1008.66
55,985.47
55,1005.27
55,997.75
55,1011.31
55,998.9
55,994.23
55,991.52
55,1005.81
55,983.42
55,1016.39
55,999.42
55,1004.06
55,982.26
55,990.9
55,1032.58
55,1001.27
55,1005.22
55,984.99
55,979.94
55,991.75
55,1010.01
55,1010.26
55,990.47
55,994.21
55,1000.06
55,976.5
55,1001.93
55,1008.36
55,1009.55
55,1001.76
55,995.14
55,1001.87
55,995.96
55,987.77
55,994.78
55,995.94
55,1024.16
55,993.09
55,1000.04
55,997.59
55,990.84
55,1003.48
55,986.17
55,993.91
55,1000.62
55,1003.24
55,1010.67
55,1009.04
55,981.79
55,1018.91
55,996.39
55,1047.87
55,1018.05
55,992.43
55,998.14
55,1004.41
55,1021.94
55,1006.22
55,995.04
55,1001.54
55,998.96
55,999.79
55,1006.95
55,1010.02
55,1005.94
55,988.39
55,991.47
55,998.3
55,1000.7
55,993.61
55,1007.72
55,993.79
55,993.8
55,991.09
55,1001.7
55,990.85
55,1005.43
55,1001.38
55,1005.09
55,998.36
55,995.89
55,992.02
55,1003.83
55,1010.37
55,1015.38
55,999.99
55,987.5
55,989.68
55,1007.49
55,1001.98
55,989.48
55,1006.97
55,1022.8
55,984.35
55,1004.39
55,997.93
55,996.58
55,990.67
55,968.84
55,983.86
55,998.6
55,986.59
55,986.24
55,1024.76
55,989.11
55,1019.38
55,989.12
55,992.24
55,999.79
55,1011.8
55,1006.0
55,998.09
55,1006.69
55,1017.46
55,1002.6
55,1004.81
55,983.84
55,991.75
55,1005.59
55,1017.33
55,981.52
55,1002.48
55,1006.46
55,1011.23
55,985.14
55,990.24
55,1005.25
55,987.79
55,999.4
55,999.37
55,1004.67
55,996.03
55,1005.7
55,1000.83
55,1010.19
55,1000.26
55,992.18
55,1003.38
55,1001.33
55,998.54
55,1015.44
55,1000.18
55,996.14
55,991.85
55,979.26
55,996.66
55,997.74
55,1005.58
55,998.12
55,988.81
55,1002.88
55,998.03
55,996.58
55,1013.23
55,1004.84
55,1005.77
55,994.27
55,988.04
55,996.27
55,995.98
55,999.49
55,1007.98
55,1007.56
55,1004.7
55,1006.27
55,990.18
55,1012.43
55,1000.34
55,1004.01
55,1008.24
55,999.66
55,983.08
55,990.79
55,1005.14
55,991.83
55,980.48
55,999.22
55,983.25
55,1001.23
55,994.61
55,1010.59
55,988.97
55,988.08
55,1010.47
55,987.45
55,1007.31
55,1005.57
55,1032.73
55,989.84
55,1005.17
55,983.78
55,1005.58
55,985.34
55,1000.13
55,1000.66
55,1009.48
55,998.34
55,1002.01
55,1000.71
55,1000.64
55,991.85
55,1005.7
55,996.36
55,1003.35
55,990.0
55,999.22
55,1004.41
55,997.61
55,993.17
55,987.89
55,996.62
55,997.83
55,1000.83
